"id","business_name","registered_name","foundation_date","address","city","state","country","z_ip_code","owner","source","phone","whatsapp","website","email","instagram","facebook","tik_tok","company_registration_id","categories","rating","price_level","user_ratings_total","vicinity","permanently_closed","company_size","revenue","employees_count","description","primary_activity","types","business_status","quality","search_term","fields_filled","google_id","created_at","updated_at"
"00504201-35d6-445f-9765-4a77f3416d91","Restaurante Dona Florinda","",NULL,"R. Antônio Pereira de Sousa, 227 - Santana, São Paulo - SP, 02404-060, Brazil","Guarulhos","SP","Brazil","02404-060","","GooglePlaces","+55 11 2892-1688","","http://restaurantedonaflorinda.com.br/","","","","","","restaurant, food, point_of_interest, establishment","4.4","3","925","",False,"","0","0","(Google Places: A traditional Portuguese restaurant that serves typical dishes with a gourmet touch.)","","","OPERATIONAL","","restaurantes, Guarulhos, 10000","0","ChIJt_PsxzX2zpQRYLNGTDlE8-Q","2024-09-27 17:05:02.205164+00","2024-09-27 17:05:02.205164+00"
"006dfab1-f87a-4aef-b285-62bbc67b2043","Ponto Certo Restaurante Santa Rita","",NULL,"R. Alcídes Cotrim, 125 - Jardim Santa Rita, Itapevi - SP, 06660-110, Brazil","Jandira","SP","Brazil","06660-110","","GooglePlaces","+55 11 4773-3881","","https://og-bio.site/pontocertoleandroerose","","","","","","restaurant, meal_takeaway, food, point_of_interest, establishment","4.4","1","194","",False,"","0","0","","","","OPERATIONAL","","restaurantes, Jandira, 10000","0","ChIJJ8wd4HkGz5QRSVBfWAKpQAo","2024-09-27 09:02:34.707072+00","2024-09-27 09:02:34.707072+00"
"00801ab0-fbc3-4d6d-aa6d-9f9cd1a1f55b","Estação Mogiana","",NULL,"R. Angelino Rossi, 12 - Jardim Novo Botafogo, Campinas - SP, 13070-231, Brazil","Campinas","SP","Brazil","13070-231","","GooglePlaces","+55 19 3212-1880","","","","","","","","restaurant, food, point_of_interest, establishment","4.6","2","4062","",False,"","0","0","","","","OPERATIONAL","","restaurantes, Campinas, 10000","0","ChIJCV8lPafIyJQR2Y606ZuemII","2024-09-27 20:47:09.743678+00","2024-09-27 20:47:09.743678+00"
"00a783d8-224d-4e51-909f-e628a272687a","Comfort Suites Alphaville","",NULL,"Alameda Rio Negro, 1030, Alphaville Industrial","OSASCO","SP","Brazil","06454-000","","GooglePlaces","+55 11 4673-0254","","https://www.reserveatlantica.com.br/hotel/comfort-suites-alphaville/?utm_source=gmb&utm_medium=organic&utm_campaign=google-my-business","","","","","","","4.5","0","0","",False,"","0","0","(Google Places: Relaxed suites in an unpretentious hotel with breakfast, an indoor pool, a sauna & event space.)","","","","","hoteis, OSASCO, 10000","0","ChIJV-0aZDwCz5QR_XJdF_e4wV4","2024-09-30 11:38:18.329271+00","2024-09-30 11:38:18.329271+00"
"00b1fbda-4ef0-40a3-9318-338aec9f0b78","Sterna Café Vila Leopoldina","",NULL,"Rua Hayden, 105, Vila Leopoldina","OSASCO","SP","Brazil","05314-010","","GooglePlaces","+55 11 99268-3662","","https://sternacafe.com.br/unidades/41/sterna-mercadao-das-flores","","","","","","","4.8","0","0","",False,"","0","0","","","","","","cafes, OSASCO, 10000","0","ChIJO7CVyE35zpQRASPWwWvsrCw","2024-09-30 16:38:54.369118+00","2024-09-30 16:38:54.369118+00"
"014c8a52-8927-4400-8099-814ed3db3576","Restaurante Cantina da Neuza","",NULL,"Rua Afonso Schmidt, 8, Centro","OSASCO","SP","Brazil","06083-250","","GooglePlaces","","","","","","","","","","5","0","0","",False,"","0","0","","","","","","restaurantes, OSASCO, 10000","0","ChIJXwreAQD_zpQRRUNuEeZti-U","2024-09-29 09:23:25.287812+00","2024-09-29 09:23:25.287812+00"
"017a9e2f-f535-47ea-b7b3-1570a0eda764","São Conrado Bar - Itaim","",NULL,"Rua Lopes Neto, 30, Itaim Bibi","OSASCO","SP","Brazil","04533-030","","GooglePlaces","+55 11 3167-7774","","http://www.saoconradobar.com.br/","","","","","","","4.5","0","0","",False,"","0","0","","","","","","bares, OSASCO, 10000","0","ChIJ5S2KHe1XzpQR6BlDaU4ET0E","2024-09-30 17:43:32.335649+00","2024-09-30 17:43:32.335649+00"
"024f1c60-a7a1-427c-84d0-d48be42c7fe9","Bar Da Josy","",NULL,"Piratininga","OSASCO","SP","Brazil","06243","","GooglePlaces","","","","","","","","","","4.3","0","0","",False,"","0","0","","","","","","bares, OSASCO, 10000","0","ChIJNc775UP-zpQRzcf1jt6Jlg8","2024-10-01 08:57:11.73977+00","2024-10-01 08:57:11.73977+00"
"026de22f-1ff7-489f-84fa-b61ecc3862e8","Gael Cozinha Mestiça | Restaurante, Padoca e Charcutaria","",NULL,"Rua Ferreira de Araújo, 320, Pinheiros","OSASCO","SP","Brazil","05428-000","","GooglePlaces","+55 11 91015-6005","","","","https://www.instagram.com/gaelcozinhamestica/?hl=en","","","","","4.3","0","0","",False,"","0","0","","","","","","restaurantes, OSASCO, 10000","0","ChIJgzQTgUNXzpQRO35_dwOZyXA","2024-09-29 10:16:02.349656+00","2024-09-29 10:16:02.349656+00"
"02f27afa-0400-4764-ad35-09100edeab3d","O Pasquim Bar e Prosa Vila Madalena","",NULL,"Rua Aspicuelta, 524, Vila Madalena","OSASCO","SP","Brazil","05433-011","","GooglePlaces","+55 11 99919-7767","","http://www.opasquimbar.com.br/","","","","","","","4.3","0","0","",False,"","0","0","(Google Places: Nightspot frequented by artists & intellectuals, serving a variety of spirits, draft beer & snacks.)","","","","","bares, OSASCO, 10000","0","ChIJVxParKJXzpQRmD6--HklS1I","2024-09-30 17:43:30.961707+00","2024-09-30 17:43:30.961707+00"
